Country,Year,Per Capita
Australia,2010,18.397758
Australia,2011,18.062717
Australia,2012,17.86907
Australia,2013,17.215785
Australia,2014,16.785681
Australia,2015,16.86772
Australia,2016,16.997412
Australia,2017,16.850455
Australia,2018,16.665199
Australia,2019,16.419679
Australia,2020,15.579327
Australia,2021,15.091473
Bahrain,2010,23.957117
Bahrain,2011,23.486665
Bahrain,2012,22.139051
Bahrain,2013,24.695505
Bahrain,2014,23.567176
Bahrain,2015,23.829856
Bahrain,2016,22.388014
Bahrain,2017,22.538732
Bahrain,2018,22.044145
Bahrain,2019,25.307178
Bahrain,2020,25.450788
Bahrain,2021,26.66372
Brunei Darussalam,2010,20.352832
Brunei Darussalam,2011,23.772297
Brunei Darussalam,2012,23.362092
Brunei Darussalam,2013,18.523258
Brunei Darussalam,2014,21.194912
Brunei Darussalam,2015,16.451554
Brunei Darussalam,2016,17.917867
Brunei Darussalam,2017,21.635841
Brunei Darussalam,2018,21.517344
Brunei Darussalam,2019,23.941461
Brunei Darussalam,2020,23.890806
Brunei Darussalam,2021,23.532003
Kuwait,2010,30.330093
Kuwait,2011,27.438774
Kuwait,2012,29.978251
Kuwait,2013,22.959788
Kuwait,2014,20.104171
Kuwait,2015,23.651531
Kuwait,2016,25.171689
Kuwait,2017,23.258194
Kuwait,2018,22.47887
Kuwait,2019,23.49882
Kuwait,2020,22.882707
Kuwait,2021,24.972098
Qatar,2010,41.972586
Qatar,2011,44.146406
Qatar,2012,49.233732
Qatar,2013,41.262349
Qatar,2014,41.341252
Qatar,2015,37.823412
Qatar,2016,33.73375
Qatar,2017,36.942875
Qatar,2018,34.42036
Qatar,2019,36.032711
Qatar,2020,33.640499
Qatar,2021,35.587357
USA,2010,18.257408
USA,2011,17.671368
USA,2012,16.8812
USA,2013,17.161404
USA,2014,17.168597
USA,2015,16.563306
USA,2016,16.050104
USA,2017,15.800777
USA,2018,16.187923
USA,2019,15.730884
USA,2020,14.037218
USA,2021,14.858668
